"status","file","line","target","localPath","size","contentType","error","context"
"downloaded","docs/payment-faq/common-questions/high-risk-order-alert-email/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2023/11/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments/high-risk-order-alert-email/attachment-14-8.pdf","1256675","application/pdf","","[【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25](https://support.oceanpayment.com/wp-content/uploads/2023/11/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf)"
"downloaded","docs/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/iDEAL商户运营端注意事项.pdf","static/files/help-center/wordpress-attachments/ideal-merchant-operation-notes/attachment-15-6.pdf","941904","application/pdf","","[iDEAL商户运营端注意事项](https://support.oceanpayment.com/wp-content/uploads/2025/03/iDEAL商户运营端注意事项.pdf)"
"downloaded","docs/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Klarna消费者端账单展示-2025-04-03.pdf","static/files/help-center/wordpress-attachments/klarna-consumer-bill-sample/attachment-16-6.pdf","377815","application/pdf","","[Klarna消费者端账单展示](https://support.oceanpayment.com/wp-content/uploads/2025/04/Klarna消费者端账单展示-2025-04-03.pdf)"
"downloaded","docs/payment-faq/common-questions/klarna-norway-market-update/index.mdx","18","https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway–FAQ-20240808.pdf","static/files/help-center/wordpress-attachments/klarna-norway-market-update/attachment-17-18.pdf","952063","application/pdf","","[Klarna Norway–FAQ-20240808](https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway–FAQ-20240808.pdf)"
"downloaded","docs/payment-faq/common-questions/payment-declined-10000-risk-control/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2021/11/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf","static/files/help-center/wordpress-attachments/payment-declined-10000-risk-control/attachment-18-10.pdf","1215275","application/pdf","","[Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25](https://support.oceanpayment.com/wp-content/uploads/2021/11/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf)"
"downloaded","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——英国对-Klarna-广告的监管要求-20240131.pdf","static/files/help-center/wordpress-attachments/uk-klarna-advertising-requirements/attachment-19-8.pdf","1582119","application/pdf","","[英国对 Klarna 广告的监管要求](https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——英国对-Klarna-广告的监管要求-20240131.pdf)"
"downloaded","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","static/files/help-center/wordpress-attachments/uk-klarna-advertising-requirements/attachment-20-10.pdf","1151022","application/pdf","","[UK regulatory requirements for advertising Klarna](https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf)"
"downloaded","docs/payment-faq/info-update/bulk-address-fraud-attack/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/10/【风控-欺诈攻击】批量地址欺诈攻击分享.pdf","static/files/help-center/wordpress-attachments/bulk-address-fraud-attack/attachment-21-6.pdf","769932","application/pdf","","[【风控-欺诈攻击】批量地址欺诈攻击分享](https://support.oceanpayment.com/wp-content/uploads/2025/10/【风控-欺诈攻击】批量地址欺诈攻击分享.pdf)"
"downloaded","docs/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/日本发布《信用卡安全指南5.0》新规定.pdf","static/files/help-center/wordpress-attachments/japan-credit-card-security-guidelines-5/attachment-22-6.pdf","348154","application/pdf","","[日本发布《信用卡安全指南5.0》新规定](https://support.oceanpayment.com/wp-content/uploads/2025/03/日本发布《信用卡安全指南5.0》新规定.pdf)"
"downloaded","docs/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付考核标准-2025-04-10.pdf","static/files/help-center/wordpress-attachments/mastercard-chargeback-assessment-criteria/attachment-23-6.pdf","654868","application/pdf","","[Mastercard 拒付考核标准](https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付考核标准-2025-04-10.pdf)"
"downloaded","docs/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付原因更新.pdf","static/files/help-center/wordpress-attachments/mastercard-chargeback-reason-update/attachment-24-6.pdf","1596297","application/pdf","","[Mastercard 拒付原因更新](https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付原因更新.pdf)"
"downloaded","docs/payment-faq/info-update/visa-vamp-policy/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/01/【Oceanpayment】VAMP增强及VDMP和VFMP退出-2025-06-25.pdf","static/files/help-center/wordpress-attachments/visa-vamp-policy/attachment-25-6.pdf","1816010","application/pdf","","[【Oceanpayment】VAMP增强及VDMP和VFMP退出 2025-06-25](https://support.oceanpayment.com/wp-content/uploads/2025/01/【Oceanpayment】VAMP增强及VDMP和VFMP退出-2025-06-25.pdf)"
"downloaded","docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx","6","http://support.oceanpayment.com/wp-content/uploads/2025/04/Oceanpayment-Recurring知识介绍-2025-04-03.pdf","static/files/help-center/wordpress-attachments/oceanpayment-recurring-introduction/attachment-26-6.pdf","767891","application/pdf","","[Oceanpayment Recurring知识介绍](http://support.oceanpayment.com/wp-content/uploads/2025/04/Oceanpayment-Recurring知识介绍-2025-04-03.pdf)"
