"type","file","line","target","context"
"old-support-upload-link","docs/payment-faq/common-questions/high-risk-order-alert-email/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2023/11/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf","[【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册 2025-07-25](https://support.oceanpayment.com/wp-content/uploads/2023/11/【ODPM数字平台】Oceanpayment——高欺诈风险警报操作手册-2025-07-25.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/ideal-merchant-operation-notes/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/iDEAL商户运营端注意事项.pdf","[iDEAL商户运营端注意事项](https://support.oceanpayment.com/wp-content/uploads/2025/03/iDEAL商户运营端注意事项.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/klarna-consumer-bill-sample/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Klarna消费者端账单展示-2025-04-03.pdf","[Klarna消费者端账单展示](https://support.oceanpayment.com/wp-content/uploads/2025/04/Klarna消费者端账单展示-2025-04-03.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/klarna-norway-market-update/index.mdx","18","https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway–FAQ-20240808.pdf","[Klarna Norway–FAQ-20240808](https://support.oceanpayment.com/wp-content/uploads/2024/08/Klarna-Norway–FAQ-20240808.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/payment-declined-10000-risk-control/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2021/11/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf","[Ocenapayment ODPM数字平台——白名单操作手册 2025-07-25](https://support.oceanpayment.com/wp-content/uploads/2021/11/Ocenapayment-ODPM数字平台——白名单操作手册-2025-07-25.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","8","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——英国对-Klarna-广告的监管要求-20240131.pdf","[英国对 Klarna 广告的监管要求](https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——英国对-Klarna-广告的监管要求-20240131.pdf)"
"old-support-upload-link","docs/payment-faq/common-questions/uk-klarna-advertising-requirements/index.mdx","10","https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf","[UK regulatory requirements for advertising Klarna](https://support.oceanpayment.com/wp-content/uploads/2024/02/Oceanpayment——UK-regulatory-requirements-for-advertising-Klarna-240131.pdf)"
"old-support-upload-link","docs/payment-faq/info-update/bulk-address-fraud-attack/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/10/【风控-欺诈攻击】批量地址欺诈攻击分享.pdf","[【风控-欺诈攻击】批量地址欺诈攻击分享](https://support.oceanpayment.com/wp-content/uploads/2025/10/【风控-欺诈攻击】批量地址欺诈攻击分享.pdf)"
"old-support-upload-link","docs/payment-faq/info-update/japan-credit-card-security-guidelines-5/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/03/日本发布《信用卡安全指南5.0》新规定.pdf","[日本发布《信用卡安全指南5.0》新规定](https://support.oceanpayment.com/wp-content/uploads/2025/03/日本发布《信用卡安全指南5.0》新规定.pdf)"
"old-support-upload-link","docs/payment-faq/info-update/mastercard-chargeback-assessment-criteria/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付考核标准-2025-04-10.pdf","[Mastercard 拒付考核标准](https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付考核标准-2025-04-10.pdf)"
"old-support-upload-link","docs/payment-faq/info-update/mastercard-chargeback-reason-update/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付原因更新.pdf","[Mastercard 拒付原因更新](https://support.oceanpayment.com/wp-content/uploads/2025/04/Mastercard-拒付原因更新.pdf)"
"old-support-upload-link","docs/payment-faq/info-update/visa-vamp-policy/index.mdx","6","https://support.oceanpayment.com/wp-content/uploads/2025/01/【Oceanpayment】VAMP增强及VDMP和VFMP退出-2025-06-25.pdf","[【Oceanpayment】VAMP增强及VDMP和VFMP退出 2025-06-25](https://support.oceanpayment.com/wp-content/uploads/2025/01/【Oceanpayment】VAMP增强及VDMP和VFMP退出-2025-06-25.pdf)"
"old-support-upload-link","docs/products-services/oceanpayment-products/oceanpayment-recurring-introduction/index.mdx","6","http://support.oceanpayment.com/wp-content/uploads/2025/04/Oceanpayment-Recurring知识介绍-2025-04-03.pdf","[Oceanpayment Recurring知识介绍](http://support.oceanpayment.com/wp-content/uploads/2025/04/Oceanpayment-Recurring知识介绍-2025-04-03.pdf)"
